21,3,7,2,247,1,0,364,12,6,112,3,324,1913,55,4,7,18,2,0,8,16,9,479,6,2,5,63,17,40,7,39,3,16,13,138,47,24,59,1,513,13,26,33,685,125,0,2,1,64,2,55,2,38,1,107,3,37,508,10,3,4,5,29,34,2,906,295,71,87,1947,33
0,0,0,0,55,0,0,7,0,0,1,0,9,3,2,0,0,1,8,8,0,0,0,0,0,0,0,2,0,3,1,1,0,62,7,8,26,21,0,0,14,0,37,122,50,6,0,0,0,6,0,6,0,2,0,2,0,12,7,0,0,0,0,20,1,0,10,13,6,1,15,2
5,1,10,1,29,0,1,3,7,4,31,440,466,15,11,1,6,14,0,16,0,0,47,2,575,0,8,28,10,10,1,87,624,0,2,7,13,1,2,0,65,20,2,7,22,8,0,2,2,9,2,17,214,47,1,129,2,4,10,5,2,6,49,4,19,2,17,52,4,2,18,8
6,1,3,0,15,0,0,1,2,1,33,6,1856,14,11,0,1,6,0,9,0,47,0,1,70,1,3,46,7,13,0,11,268,0,6,3,10,1,3,0,45,7,0,9,9,6,0,1,0,10,0,10,4,828,0,81,3,1,5,2,1,1,4,6,42,1,7,38,1,3,10,4
6,0,0,0,26,0,0,11,1,1,69,0,64,137,9,0,1,2,0,479,0,2,1,0,1,0,1,14,4,6,0,7,0,0,1,4,7,1,112,0,35,2,2,2,91,9,0,0,0,14,0,7,0,10,0,26,0,4,13,2,0,0,0,2,5,0,27,30,18,243,447,7
5,0,0,0,9,0,0,1,2,0,28,29,1125,10,7,0,1,4,0,6,0,575,70,1,0,0,2,19,7,5,0,19,179,0,1,3,5,1,2,0,33,6,0,2,8,3,0,1,0,5,0,7,76,35,0,222,2,1,4,2,0,1,11,2,10,0,8,29,1,1,8,4
0,46,2,13,8,0,0,1,2,1,3,0,20,2,0,7,0,3,0,2,0,0,1,0,0,0,1,3,0,2,0,1,0,2,5,0,30,1,1,0,9,1,0,52,6,1,0,0,0,7,11,4,0,4,0,4,2,0,2,2,2,0,0,39,3,1,5,14,2,0,6,4
5,3,12,2,10,10,1,1,42,88,9,3,47,8,3,7,18,259,0,5,0,8,3,1,2,1,0,11,20,6,1,340,2,0,1,1,17,2,1,0,22,209,3,3,8,3,4,5,5,9,2,11,3,21,3,33,24,2,2,17,2,205,15,2,8,4,7,24,3,1,6,39
23,4,5,3,56,1,0,10,8,5,158,8,2163,1579,27,3,6,21,0,63,2,28,46,14,19,3,11,0,24,66,2,42,7,3,12,13,28,8,16,0,668,18,6,30,42,50,0,4,1,24,5,102,6,1200,2,137,8,8,27,8,3,7,7,21,721,3,151,2782,9,13,55,16
146,1,8,0,14,2,1,5,12,7,95,4,207,15,4,2,8,26,0,17,0,10,7,4,7,0,20,24,0,18,1,153,4,1,2,4,24,1,22,0,67,367,1,3,15,7,1,3,4,27,1,29,26,44,1,697,4,1,9,10,2,12,90,2,17,2,21,72,5,13,19,99
